A,8
B,3
C,5
D,5
E,9
F,3
G,3
H,5
I,7
J,2
K,2
L,6
M,4
N,7
O,8
P,4
Q,2
R,7
S,8
T,8
U,8
V,2
W,2
X,2
Y,3
Z,2
1,4
2,4
3,3
4,3
5,3
6,3
7,3
8,3
9,3
0,3
(,1
),1
?,1
!,1
@,2
~,1
$,1
+,2
-,2
",",6
.,1
#,1
*,1
